,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
5583,Citroen DS3,4990,6775,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255618594,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157383258,59892.0,43210.0,1.6,1.6,1287.8155680224404,416.30676721031426,334.4031870987111
5568,Citroen DS3,3700,7499,MK3 6JS,https://www.autotrader.co.uk/car-details/202305137341115,DT2 7LU,https://www.autotrader.co.uk/car-details/202303034851777,88671.0,39843.0,1.2,1.6,1280.2682697838075,416.30676721031426,334.4031870987111
6304,Citroen C1,4490,6699,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097159762,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237680537,62423.0,35863.0,1.0,1.0,1269.1054098649536,416.30676721031426,677.7478629675197
5574,Citroen DS3,4995,7499,MK3 6JS,https://www.autotrader.co.uk/car-details/202212102425676,DT2 7LU,https://www.autotrader.co.uk/car-details/202303034851777,82665.0,39843.0,1.6,1.6,1206.881654872074,416.30676721031426,334.4031870987111
4218,Citroen DS3,3899,6295,MK3 6JS,https://www.autotrader.co.uk/car-details/202305046999040,DT2 7LU,https://www.autotrader.co.uk/car-details/202303275655644,97017.0,48700.0,1.6,1.6,1202.7294185555108,416.30676721031426,334.4031870987111
5569,Citroen DS3,3700,6250,MK3 6JS,https://www.autotrader.co.uk/car-details/202305137341115,DT2 7LU,https://www.autotrader.co.uk/car-details/202304186425397,88671.0,55720.0,1.2,1.6,1201.7965287410766,416.30676721031426,334.4031870987111
8494,Citroen DS3,4200,5980,MK3 6JS,https://www.autotrader.co.uk/car-details/202305207599615,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097191715,88228.0,79000.0,1.2,1.6,1195.3688171555514,416.30676721031426,334.4031870987111
8510,Citroen DS3,5800,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097186437,DT2 7LU,https://www.autotrader.co.uk/car-details/202305107211668,63000.0,47000.0,1.6,1.2,1183.703703703704,416.30676721031426,334.4031870987111
9150,Citroen C3 Picasso,4490,9995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097171988,DT2 7LU,https://www.autotrader.co.uk/car-details/202304136235465,98000.0,21000.0,1.6,1.6,1179.642857142857,416.30676721031426,1382.090951711205
6302,Citroen C1,5390,6699,MK3 6JS,https://www.autotrader.co.uk/car-details/202302164333721,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237680537,40000.0,35863.0,1.0,1.0,1173.616675,416.30676721031426,677.7478629675197
4211,Citroen DS3,2499,3950,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117276034,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097160144,125000.0,101000.0,1.6,1.6,1172.4080000000001,416.30676721031426,334.4031870987111
5581,Citroen DS3,4990,6250,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255618594,DT2 7LU,https://www.autotrader.co.uk/car-details/202304186425397,59892.0,55720.0,1.6,1.6,1172.2300140252453,416.30676721031426,334.4031870987111
10451,Citroen C1,5400,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304256633376,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057040735,78178.0,48000.0,1.2,1.0,1171.4804676507458,416.30676721031426,677.7478629675197
10485,Citroen C1,4295,5600,MK3 6JS,https://www.autotrader.co.uk/car-details/202304286780632,DT2 7LU,https://www.autotrader.co.uk/car-details/202305067085473,65745.0,58315.0,1.0,1.0,1157.5188227241615,416.30676721031426,677.7478629675197
10437,Citroen C1,5600,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305067085473,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057040735,58315.0,48000.0,1.0,1.0,1144.1310126039612,416.30676721031426,677.7478629675197
5571,Citroen DS3,3700,6775,MK3 6JS,https://www.autotrader.co.uk/car-details/202305137341115,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157383258,88671.0,43210.0,1.2,1.6,1123.8517948370943,416.30676721031426,334.4031870987111
10494,Citroen C4 Cactus,8290,9650,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057033235,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256673730,44456.0,36539.0,1.2,1.2,1117.8027712794674,416.30676721031426,319.2376486966753
5570,Citroen DS3,3700,5450,MK3 6JS,https://www.autotrader.co.uk/car-details/202305137341115,DT2 7LU,https://www.autotrader.co.uk/car-details/202304286786730,88671.0,75000.0,1.2,1.6,1110.1431133064923,416.30676721031426,334.4031870987111
