,name_buy,price_buy,price_sell,postcode_buy,postcode_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name,link_buy,link_sell
8170,Peugeot 208,7249,7749,MK3 6JS,DT2 7LU,28500.0,41470.0,1.0,1.2,606.2865497076024,562.1199314888854,345.9135119320562,https://www.autotrader.co.uk/car-details/202304176380143,https://www.autotrader.co.uk/car-details/202304035901764
3406,BMW 1 Series,6250,6895,MK3 6JS,DT2 7LU,116962.0,109863.0,2.0,2.0,605.8517723705135,335.05811778751035,446.91156875323935,https://www.autotrader.co.uk/car-details/202304066042803,https://www.autotrader.co.uk/car-details/202305026905135
3405,BMW 1 Series,6250,6895,MK3 6JS,DT2 7LU,116962.0,109863.0,2.0,2.0,605.8517723705135,335.05811778751035,446.91156875323935,https://www.autotrader.co.uk/car-details/202304066042803,https://www.autotrader.co.uk/car-details/202305026905135
6293,Ford Focus,6190,7995,MK3 6JS,DT2 7LU,93190.0,50038.0,1.0,1.6,605.7422336087564,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202303085029552,https://www.autotrader.co.uk/car-details/202304296818133
6294,Ford Focus,6190,7995,MK3 6JS,DT2 7LU,93190.0,50038.0,1.0,1.6,605.7422336087564,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202303085029552,https://www.autotrader.co.uk/car-details/202304296818133
1737,Fiat 500,3495,4140,MK3 6JS,DT2 7LU,116500.0,82054.0,1.2,0.9,605.7205150214592,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202209209934962,https://www.autotrader.co.uk/car-details/202304286771900
4898,Audi A6,7194,7963,MK3 6JS,DT2 7LU,122000.0,96063.0,2.0,2.0,605.5118606557377,236.33866603688185,-267.1971169420149,https://www.autotrader.co.uk/car-details/202302244595576,https://www.autotrader.co.uk/car-details/202304256645473
9300,Volkswagen Polo,8400,8998,MK3 6JS,DT2 7LU,63099.0,63834.0,1.2,1.2,604.9657205343983,695.0849396237942,609.9455126751761,https://www.autotrader.co.uk/car-details/202305097184065,https://www.autotrader.co.uk/car-details/202304286761606
2770,MINI Countryman,6950,8995,MK3 6JS,DT2 7LU,96449.0,28513.0,1.6,1.6,604.5587305207933,253.1717803535523,414.7781913635819,https://www.autotrader.co.uk/car-details/202212272788479,https://www.autotrader.co.uk/car-details/202304286778593
6541,Ford Fiesta,6480,7495,MK3 6JS,DT2 7LU,74000.0,70500.0,1.0,1.6,604.370777027027,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305057058772,https://www.autotrader.co.uk/car-details/202303165299398
110,Vauxhall Corsa,1890,2490,MK3 6JS,DT2 7LU,94718.0,88000.0,1.3,1.2,603.8978863573979,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202305207588903,https://www.autotrader.co.uk/car-details/202303295749400
5402,Smart Fortwo,4300,4995,MK3 6JS,DT2 7LU,73550.0,63885.0,1.0,1.0,603.6719918422842,532.7565396614033,532.7565396614033,https://www.autotrader.co.uk/car-details/202303185384929,https://www.autotrader.co.uk/car-details/202305167438195
6752,Peugeot 2008,6489,8295,MK3 6JS,DT2 7LU,98873.0,44000.0,1.2,1.6,602.7732545791064,562.1199314888854,136.91923491054794,https://www.autotrader.co.uk/car-details/202304236575814,https://www.autotrader.co.uk/car-details/202305247741331
3896,Ford Fiesta,6995,9950,MK3 6JS,DT2 7LU,42234.0,9187.0,1.5,1.6,602.6154505256429,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202304186410723,https://www.autotrader.co.uk/car-details/202303205424847
1722,Fiat 500,4291,4999,MK3 6JS,DT2 7LU,69500.0,59133.0,1.2,1.2,602.3908489208633,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202305247735602,https://www.autotrader.co.uk/car-details/202304096118675
620,Vauxhall Corsa,3495,4250,MK3 6JS,DT2 7LU,71000.0,56619.0,1.2,1.2,602.0752816901409,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202305167433532,https://www.autotrader.co.uk/car-details/202305127284985
