,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
300,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202304256642830,3450,poole (24 miles),2008,Hatchback,61904.0,1.4,79.0,Manual,Petrol,2.0,Volkswagen,DT1 3GJ
301,Vauxhall Zafira,https://www.autotrader.co.uk/car-details/202305107205447,2395,poole (23 miles),2008,MPV,95000.0,1.6,,Manual,Petrol,3.0,Vauxhall,DT1 3GJ
302,Honda Civic,https://www.autotrader.co.uk/car-details/202305107223884,2490,4.6 (331 reviews),2008,Hatchback,121000.0,1.8,138.0,Manual,Petrol,,Honda,DT1 3GJ
303,Renault Modus,https://www.autotrader.co.uk/car-details/202304015866547,2390,4.6 (331 reviews),2008,Hatchback,85000.0,1.2,100.0,Manual,Petrol,,Renault,DT1 3GJ
304,Hyundai I10,https://www.autotrader.co.uk/car-details/202302023859405,2995,4.9 (82 reviews) poole (23 miles),2008,Hatchback,90800.0,1.1,65.0,Manual,Petrol,,Hyundai,DT1 3GJ
305,Land Rover Freelander 2,https://www.autotrader.co.uk/car-details/202303305788883,5490,4.6 (331 reviews),2008,SUV,106000.0,2.2,,Automatic,Diesel,,Land,DT1 3GJ
306,Ford Fiesta,https://www.autotrader.co.uk/car-details/202304186403482,2295,4.1 (19 reviews) bournemouth (25 miles),2008,Hatchback,129000.0,,74.0,Manual,Petrol,,Ford,DT1 3GJ
307,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111109427443,7995,4.9 (146 reviews) gillingham (23 miles),2008,Hatchback,105604.0,3.2,247.0,Manual,Petrol,6.0,Volkswagen,DT1 3GJ
308,Mitsubishi Lancer,https://www.autotrader.co.uk/car-details/202301123194622,3790,4.6 (331 reviews),2008,Hatchback,59000.0,1.8,,Manual,Petrol,,Mitsubishi,DT1 3GJ
309,Ford Focus,https://www.autotrader.co.uk/car-details/202304266677372,2495,4.7 (19 reviews),2008,Hatchback,129000.0,1.8,125.0,Manual,Petrol,,Ford,DT1 3GJ
310,Alfa Romeo GT,https://www.autotrader.co.uk/car-details/202211091517204,4000,4.7 (19 reviews),2008,Coupe,83000.0,2.0,165.0,Manual,Petrol,2.0,Alfa,DT1 3GJ
311,Toyota Aygo,https://www.autotrader.co.uk/car-details/202303175352346,5995,5.0 (26 reviews) axminster (25 miles),2008,Hatchback,27000.0,1.0,67.0,Automatic,Petrol,3.0,Toyota,DT1 3GJ
312,Ford Fiesta,https://www.autotrader.co.uk/car-details/202302094105512,2490,4.6 (331 reviews),2008,Hatchback,96000.0,1.4,67.0,Manual,Diesel,,Ford,DT1 3GJ
313,Renault Megane,https://www.autotrader.co.uk/car-details/202302074031807,2890,4.8 (117 reviews),2008,Estate,86000.0,1.9,130.0,Manual,Diesel,,Renault,DT1 3GJ
314,MINI Hatch,https://www.autotrader.co.uk/car-details/202209219957308,7950,ferndown (26 miles),2008,Hatchback,70238.0,1.6,,Manual,Petrol,5.0,MINI,DT1 3GJ
315,Honda Civic,https://www.autotrader.co.uk/car-details/202305016876402,3150,bournemouth (29 miles),2008,Hatchback,78000.0,1.8,138.0,Manual,Petrol,2.0,Honda,DT1 3GJ
316,KIA Ceed,https://www.autotrader.co.uk/car-details/202304276749210,3290,4.8 (117 reviews),2008,Estate,72000.0,1.6,120.0,Manual,Petrol,,KIA,DT1 3GJ
317,Renault Clio,https://www.autotrader.co.uk/car-details/202305137334082,2495,poole (23 miles),2008,Hatchback,120000.0,1.1,100.0,Manual,Petrol,,Renault,DT1 3GJ
318,Mazda MX-5,https://www.autotrader.co.uk/car-details/202305016868907,3750,shaftesbury (24 miles),2008,Convertible,60800.0,1.8,,Manual,Petrol,4.0,Mazda,DT1 3GJ
319,Fiat Grande Punto,https://www.autotrader.co.uk/car-details/202305127309364,3750,blandford forum (18 miles),2008,Hatchback,65004.0,1.4,,Automatic,Petrol,6.0,Fiat,DT1 3GJ
320,Mercedes-Benz C Class,https://www.autotrader.co.uk/car-details/202302033891233,3990,4.8 (117 reviews),2008,Coupe,81000.0,2.1,143.0,Automatic,Diesel,,Mercedes-Benz,DT1 3GJ
321,Audi TTS,https://www.autotrader.co.uk/car-details/202304206500345,9995,4.9 (33 reviews) verwood (29 miles),2008,Coupe,98311.0,2.0,,Automatic,Petrol,,Audi,DT1 3GJ
322,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202304035915529,6202,4.9 (208 reviews),2008,Hatchback,44000.0,1.4,79.0,Automatic,Petrol,3.0,Volkswagen,DT1 3GJ
323,Volvo XC90,https://www.autotrader.co.uk/car-details/202305147362151,4750,somerton (27 miles),2008,SUV,116000.0,2.4,182.0,Automatic,Diesel,7.0,Volvo,DT1 3GJ
324,Land Rover Discovery 3,https://www.autotrader.co.uk/car-details/202304276754206,4995,bournemouth (30 miles),2008,SUV,138000.0,2.7,190.0,Manual,Diesel,4.0,Land,DT1 3GJ
325,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202302214495174,2390,4.6 (331 reviews),2008,Hatchback,113000.0,1.6,113.0,Manual,Petrol,,Vauxhall,DT1 3GJ
326,KIA RIO,https://www.autotrader.co.uk/car-details/202302114171605,3495,4.9 (82 reviews) poole (23 miles),2008,Hatchback,68000.0,1.6,110.0,Manual,Petrol,,KIA,DT1 3GJ
327,BMW 1 Series,https://www.autotrader.co.uk/car-details/202303044893251,4790,4.6 (331 reviews),2008,Coupe,88000.0,2.0,,Manual,Diesel,,BMW,DT1 3GJ
328,Ford Fiesta,https://www.autotrader.co.uk/car-details/202304096117036,2990,4.6 (331 reviews),2008,Hatchback,85000.0,,81.0,Manual,Petrol,,Ford,DT1 3GJ
329,Ford Fiesta,https://www.autotrader.co.uk/car-details/202302023857000,2995,4.9 (82 reviews) poole (23 miles),2008,Hatchback,106000.0,1.4,78.0,Manual,Petrol,,Ford,DT1 3GJ
330,Citroen C1,https://www.autotrader.co.uk/car-details/202303275655405,3995,4.9 (82 reviews) poole (23 miles),2008,Hatchback,28800.0,1.0,67.0,Manual,Petrol,,Citroen,DT1 3GJ
331,Renault Clio,https://www.autotrader.co.uk/car-details/202304266696161,5795,4.5 (15 reviews),2008,Hatchback,37000.0,1.6,111.0,Automatic,Petrol,,Renault,DT1 3GJ
332,Peugeot Partner Tepee,https://www.autotrader.co.uk/car-details/202305036970034,7495,blandford forum (17 miles),2008,MPV,79800.0,1.6,75.0,Manual,Diesel,4.0,Peugeot,DT1 3GJ
333,Volvo XC90,https://www.autotrader.co.uk/car-details/202304266707080,4975,wimborne (25 miles),2008,SUV,139687.0,2.4,182.0,Automatic,Diesel,4.0,Volvo,DT1 3GJ
334,Ford C-Max,https://www.autotrader.co.uk/car-details/202305137341779,2290,4.6 (331 reviews),2008,MPV,111000.0,1.6,99.0,Manual,Petrol,,Ford,DT1 3GJ
335,Mercedes-Benz CLK,https://www.autotrader.co.uk/car-details/202304176372852,7250,bruton (28 miles),2008,Convertible,67000.0,1.8,184.0,Automatic,Petrol,,Mercedes-Benz,DT1 3GJ
336,Audi A6 Unspecified,https://www.autotrader.co.uk/car-details/202304076056858,3000,blandford forum (18 miles),2008,Saloon,170490.0,2.0,,Automatic,Diesel,,Audi,DT1 3GJ
337,Audi S5,https://www.autotrader.co.uk/car-details/202304266706039,9995,shepton mallet (29 miles),2008,Coupe,93000.0,4.2,,Manual,Petrol,2.0,Audi,DT1 3GJ
338,Subaru Justy,https://www.autotrader.co.uk/car-details/202304156310995,5475,ilminster (27 miles),2008,Hatchback,42525.0,1.0,68.0,Manual,Petrol,2.0,Subaru,DT1 3GJ
339,Audi A3 Cabriolet,https://www.autotrader.co.uk/car-details/202305016871508,3500,blandford forum (19 miles),2008,Convertible,126900.0,1.9,,Manual,Diesel,3.0,Audi,DT1 3GJ
340,Land Rover Discovery 3,https://www.autotrader.co.uk/car-details/202305097172774,5295,5.0 (6 reviews) bournemouth (29 miles),2008,SUV,138300.0,2.7,190.0,Manual,Diesel,2.0,Land,DT1 3GJ
341,Audi TT,https://www.autotrader.co.uk/car-details/202305097165989,7350,bournemouth (24 miles),2008,Convertible,53826.0,2.0,,Manual,Petrol,6.0,Audi,DT1 3GJ
342,Honda Jazz,https://www.autotrader.co.uk/car-details/202304296817276,2495,4.4 (14 reviews) bournemouth (29 miles),2008,Hatchback,94000.0,1.4,82.0,Manual,Petrol,2.0,Honda,DT1 3GJ
343,Nissan Qashqai,https://www.autotrader.co.uk/car-details/202305117249504,3950,bournemouth (27 miles),2008,Hatchback,124000.0,2.0,148.0,Automatic,Diesel,4.0,Nissan,DT1 3GJ
344,Peugeot 207,https://www.autotrader.co.uk/car-details/202304146290124,1500,4.3 (6 reviews) bournemouth (26 miles),2008,Hatchback,101000.0,1.4,75.0,Manual,Petrol,,Peugeot,DT1 3GJ
345,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305127289056,2995,5.0 (103 reviews) chard (25 miles),2008,Hatchback,113000.0,2.0,148.0,Manual,Petrol,,Ford,DT1 3GJ
346,Ford C-Max,https://www.autotrader.co.uk/car-details/202305057061383,1995,4.3 (6 reviews) bournemouth (26 miles),2008,MPV,89000.0,1.8,123.0,Manual,Petrol,,Ford,DT1 3GJ
347,Chevrolet Kalos,https://www.autotrader.co.uk/car-details/202305097170166,1500,4.9 (75 reviews) ringwood (29 miles),2008,Hatchback,78000.0,1.4,93.0,Manual,Petrol,5.0,Chevrolet,DT1 3GJ
