,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
1962,Mercedes-Benz A Class,https://www.autotrader.co.uk/car-details/202304296836348,7995,northampton (18 miles),2012.0,Hatchback,89932.0,1.8,,Manual,Diesel,2.0,Mercedes-Benz,MK3 6JS
1963,Mercedes-Benz C Class,https://www.autotrader.co.uk/car-details/202302124205099,9200,bedford (15 miles),2012.0,Saloon,60000.0,1.6,,Automatic,Petrol,,Mercedes-Benz,MK3 6JS
1964,BMW 3 Series,https://www.autotrader.co.uk/car-details/202302274674058,7200,bedford (16 miles),2012.0,Convertible,116349.0,2.0,,Manual,Diesel,,BMW,MK3 6JS
1965,Jaguar XF,https://www.autotrader.co.uk/car-details/202305187504134,9200,5.0 (5 reviews),2012.0,Saloon,61372.0,2.2,,Automatic,Diesel,,Jaguar,MK3 6JS
1966,Mercedes-Benz C Class,https://www.autotrader.co.uk/car-details/202305237697731,8990,4.9 (17 reviews) bedford (15 miles),2012.0,Estate,77000.0,2.1,,Automatic,Diesel,4.0,Mercedes-Benz,MK3 6JS
1967,Smart Fortwo,https://www.autotrader.co.uk/car-details/202305067086610,5489,4.9 (40 reviews),2012.0,Coupe,49327.0,1.0,,Automatic,Petrol,,Smart,MK3 6JS
1968,Nissan Navara,https://www.autotrader.co.uk/car-details/202305177489893,5850,aylesbury (15 miles),2012.0,Pickup,183700.0,2.5,187.0,Manual,Diesel,,Nissan,MK3 6JS
1969,Suzuki Splash,https://www.autotrader.co.uk/car-details/202305117246152,7750,4.9 (223 reviews),2012.0,MPV,33280.0,1.2,,Automatic,Petrol,2.0,Suzuki,MK3 6JS
1970,Mercedes-Benz A Class,https://www.autotrader.co.uk/car-details/202305167437438,8328,4.9 (17 reviews) st. albans (19 miles),2012.0,Hatchback,34500.0,1.5,95.0,Automatic,Petrol,,Mercedes-Benz,MK3 6JS
1971,Volvo V70,https://www.autotrader.co.uk/car-details/202305117246942,7250,buckingham (12 miles),2012.0,Estate,106657.0,2.0,,Manual,Diesel,,Volvo,MK3 6JS
1972,Audi A5 Cabriolet,https://www.autotrader.co.uk/car-details/202212162579789,9750,luton (16 miles),2012.0,Convertible,95000.0,3.0,,Automatic,Diesel,5.0,Audi,MK3 6JS
1973,BMW 3 Series,https://www.autotrader.co.uk/car-details/202305067074322,6500,bedford (9 miles),2012.0,Saloon,127000.0,2.0,,Manual,Diesel,4.0,BMW,MK3 6JS
1974,Hyundai i30,https://www.autotrader.co.uk/car-details/202303315824775,8395,4.8 (986 reviews),2012.0,Hatchback,31588.0,1.6,,Manual,Diesel,2.0,Hyundai,MK3 6JS
1975,Volkswagen Passat,https://www.autotrader.co.uk/car-details/202304256656424,7675,bicester (17 miles),2012.0,Saloon,51500.0,2.0,,Manual,Diesel,3.0,Volkswagen,MK3 6JS
1976,Honda Insight,https://www.autotrader.co.uk/car-details/202303175338960,8990,4.6 (114 reviews) aylesbury (14 miles),2012.0,Hatchback,73720.0,1.3,,Automatic,Petrol Hybrid,,Honda,MK3 6JS
1977,Vauxhall Ampera,https://www.autotrader.co.uk/car-details/202305107233550,9099,bedford (13 miles),2012.0,Hatchback,74908.0,,,Automatic,Petrol Plug-in Hybrid,3.0,Vauxhall,MK3 6JS
1978,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202301293717796,3095,4.8 (181 reviews) bedford (13 miles),2012.0,Hatchback,93488.0,1.3,,Manual,Diesel,2.0,Vauxhall,MK3 6JS
1979,BMW X3,https://www.autotrader.co.uk/car-details/202304206495012,9199,5.0 (3 reviews) luton (15 miles),2012.0,SUV,102293.0,2.0,,Automatic,Diesel,3.0,BMW,MK3 6JS
1980,KIA Sorento,https://www.autotrader.co.uk/car-details/202305137338524,8499,5.0 (3 reviews) luton (15 miles),2012.0,SUV,93198.0,2.2,,Automatic,Diesel,3.0,KIA,MK3 6JS
1981,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202208319294574,5000,luton (15 miles),2012.0,Hatchback,50000.0,1.4,,Manual,Petrol,,Vauxhall,MK3 6JS
1982,Audi A6 Saloon,https://www.autotrader.co.uk/car-details/202209199901157,8750,northampton (18 miles),2012.0,Saloon,99000.0,3.0,,Automatic,Diesel,5.0,Audi,MK3 6JS
1983,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305177490208,4800,4.9 (102 reviews),2012.0,Hatchback,83000.0,,81.0,Manual,Petrol,4.0,Ford,MK3 6JS
